date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
10/12/2003,Iraq,Burma,3.0,0.0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True
10/12/2003,Malaysia,Bahrain,2.0,2.0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False
10/13/2003,Bhutan,Indonesia,0.0,2.0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
10/13/2003,Saudi Arabia,Yemen,3.0,1.0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False
10/15/2003,Indonesia,Yemen,2.0,2.0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
10/15/2003,Saudi Arabia,Bhutan,4.0,0.0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False
10/15/2003,Syria,Sri Lanka,5.0,0.0,AFC Asian Cup qualification,Damascus,Syria,False
10/17/2003,Jordan,Lebanon,1.0,0.0,AFC Asian Cup qualification,Amman,Jordan,False
10/17/2003,Saudi Arabia,Indonesia,6.0,0.0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False
10/17/2003,Yemen,Bhutan,4.0,0.0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
10/18/2003,Syria,Sri Lanka,8.0,0.0,AFC Asian Cup qualification,Damascus,Syria,False
10/19/2003,Oman,Nepal,6.0,0.0,AFC Asian Cup qualification,Muscat,Oman,False
10/19/2003,Singapore,Palestine,2.0,0.0,AFC Asian Cup qualification,Singapore,Singapore,False
10/19/2003,Turkmenistan,United Arab Emirates,1.0,0.0,AFC Asian Cup qualification,Ashgabat,Turkmenistan,False
10/19/2003,Vietnam,South Korea,1.0,0.0,AFC Asian Cup qualification,Muscat,Oman,True
10/20/2003,Bahrain,Burma,4.0,0.0,AFC Asian Cup qualification,Riffa,Bahrain,False
10/20/2003,Iraq,Malaysia,5.0,1.0,AFC Asian Cup qualification,Riffa,Bahrain,True
10/21/2003,Nepal,Vietnam,0.0,2.0,AFC Asian Cup qualification,Muscat,Oman,True
10/21/2003,Oman,South Korea,3.0,1.0,AFC Asian Cup qualification,Muscat,Oman,False
10/22/2003,Bahrain,Malaysia,3.0,1.0,AFC Asian Cup qualification,Riffa,Bahrain,False
10/22/2003,Burma,Iraq,1.0,3.0,AFC Asian Cup qualification,Riffa,Bahrain,True
10/22/2003,Singapore,Palestine,0.0,0.0,AFC Asian Cup qualification,Singapore,Singapore,False
10/24/2003,Bahrain,Iraq,1.0,0.0,AFC Asian Cup qualification,Riffa,Bahrain,False
10/24/2003,Burma,Malaysia,2.0,1.0,AFC Asian Cup qualification,Riffa,Bahrain,True
10/24/2003,Nepal,South Korea,0.0,7.0,AFC Asian Cup qualification,Muscat,Oman,True
10/24/2003,Oman,Vietnam,2.0,0.0,AFC Asian Cup qualification,Muscat,Oman,False
10/27/2003,North Korea,Iran,1.0,3.0,AFC Asian Cup qualification,P'yongyang,North Korea,False
10/30/2003,United Arab Emirates,Turkmenistan,1.0,1.0,AFC Asian Cup qualification,Sharjah,United Arab Emirates,False
11/3/2003,Lebanon,North Korea,1.0,1.0,AFC Asian Cup qualification,Beirut,Lebanon,False
11/6/2003,Thailand,Tajikistan,0.0,1.0,AFC Asian Cup qualification,Tashkent,Uzbekistan,True
11/6/2003,Uzbekistan,Hong Kong,4.0,1.0,AFC Asian Cup qualification,Tashkent,Uzbekistan,False
11/7/2003,Syria,United Arab Emirates,1.0,3.0,AFC Asian Cup qualification,Damascus,Syria,False
11/8/2003,Hong Kong,Tajikistan,0.0,0.0,AFC Asian Cup qualification,Tashkent,Uzbekistan,True
11/8/2003,Uzbekistan,Thailand,3.0,0.0,AFC Asian Cup qualification,Tashkent,Uzbekistan,False
11/9/2003,Turkmenistan,Sri Lanka,1.0,0.0,AFC Asian Cup qualification,Balkanabat,Turkmenistan,False
11/10/2003,Hong Kong,Thailand,2.0,1.0,AFC Asian Cup qualification,Tashkent,Uzbekistan,True
11/10/2003,Uzbekistan,Tajikistan,0.0,0.0,AFC Asian Cup qualification,Tashkent,Uzbekistan,False
11/12/2003,Iran,North Korea,3.0,0.0,AFC Asian Cup qualification,Teheran,Iran,False
11/12/2003,Lebanon,Jordan,0.0,2.0,AFC Asian Cup qualification,Beirut,Lebanon,False
11/12/2003,Turkmenistan,Sri Lanka,3.0,0.0,AFC Asian Cup qualification,Ashgabat,Turkmenistan,False
11/14/2003,United Arab Emirates,Syria,3.0,1.0,AFC Asian Cup qualification,Sharjah,United Arab Emirates,False
11/17/2003,Tajikistan,Uzbekistan,1.0,4.0,AFC Asian Cup qualification,Bangkok,Thailand,True
11/17/2003,Thailand,Hong Kong,4.0,0.0,AFC Asian Cup qualification,Bangkok,Thailand,False
11/18/2003,Jordan,North Korea,3.0,0.0,AFC Asian Cup qualification,Amman,Jordan,False
11/18/2003,United Arab Emirates,Sri Lanka,3.0,1.0,AFC Asian Cup qualification,Dubai,United Arab Emirates,False
11/19/2003,Hong Kong,Uzbekistan,0.0,1.0,AFC Asian Cup qualification,Bangkok,Thailand,True
11/19/2003,Lebanon,Iran,0.0,3.0,AFC Asian Cup qualification,Beirut,Lebanon,False
11/19/2003,Qatar,Singapore,2.0,0.0,AFC Asian Cup qualification,Doha,Qatar,False
11/19/2003,Thailand,Tajikistan,1.0,0.0,AFC Asian Cup qualification,Bangkok,Thailand,False
11/21/2003,Tajikistan,Hong Kong,1.0,0.0,AFC Asian Cup qualification,Bangkok,Thailand,True
11/21/2003,Thailand,Uzbekistan,4.0,1.0,AFC Asian Cup qualification,Bangkok,Thailand,False
11/22/2003,United Arab Emirates,Sri Lanka,3.0,0.0,AFC Asian Cup qualification,Dubai,United Arab Emirates,False
11/28/2003,Iran,Lebanon,1.0,0.0,AFC Asian Cup qualification,Teheran,Iran,False
11/28/2003,Syria,Turkmenistan,1.0,1.0,AFC Asian Cup qualification,Aleppo,Syria,False
12/22/2005,Bangladesh,Pakistan,0.0,0.0,AFC Asian Cup qualification,Dhaka,Bangladesh,False
12/26/2005,Pakistan,Bangladesh,0.0,1.0,AFC Asian Cup qualification,Karachi,Pakistan,False
2/22/2006,Bahrain,Australia,1.0,3.0,AFC Asian Cup qualification,Riffa,Bahrain,False
2/22/2006,China PR,Palestine,2.0,0.0,AFC Asian Cup qualification,Guangzhou,China PR,False
2/22/2006,Hong Kong,Qatar,0.0,3.0,AFC Asian Cup qualification,So Kon Po,Hong Kong,False
2/22/2006,Iran,Chinese Taipei,4.0,0.0,AFC Asian Cup qualification,Teheran,Iran,False
2/22/2006,Japan,India,6.0,0.0,AFC Asian Cup qualification,Yokohama,Japan,False
2/22/2006,Jordan,Pakistan,3.0,0.0,AFC Asian Cup qualification,Amman,Jordan,False
2/22/2006,Lebanon,Kuwait,1.0,1.0,AFC Asian Cup qualification,Beirut,Lebanon,False
2/22/2006,Singapore,Iraq,2.0,0.0,AFC Asian Cup qualification,Singapore,Singapore,False
2/22/2006,Syria,South Korea,1.0,2.0,AFC Asian Cup qualification,Aleppo,Syria,False
2/22/2006,United Arab Emirates,Oman,1.0,0.0,AFC Asian Cup qualification,Dubai,United Arab Emirates,False
2/22/2006,Uzbekistan,Bangladesh,5.0,0.0,AFC Asian Cup qualification,Tashkent,Uzbekistan,False
2/22/2006,Yemen,Saudi Arabia,0.0,4.0,AFC Asian Cup qualification,Sana'a,Yemen,False
3/1/2006,Bangladesh,Hong Kong,0.0,1.0,AFC Asian Cup qualification,Dhaka,Bangladesh,False
3/1/2006,India,Yemen,0.0,3.0,AFC Asian Cup qualification,New Delhi,India,False
3/1/2006,Iraq,China PR,2.0,1.0,AFC Asian Cup qualification,Al Ain,United Arab Emirates,True
3/1/2006,Kuwait,Bahrain,0.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
3/1/2006,Oman,Jordan,3.0,0.0,AFC Asian Cup qualification,Muscat,Oman,False
3/1/2006,Pakistan,United Arab Emirates,1.0,4.0,AFC Asian Cup qualification,Karachi,Pakistan,False
