Key,Squad,Poss,Gls,Sh,SoT,SoT%,PKatt,CrdY,CrdR,Fld,Int,O. CrdY,Confederation_AFC,Confederation_CAF,Confederation_CONCACAF,Confederation_CONMEBOL,Confederation_UEFA
2022-UEFA WCQ-Kazakhstan,Kazakhstan,38.5,0.63,5.38,2,37.2,0,2.63,0,7.88,13.9,1.38,0,0,0,0,1
2021-UEFA Euro Qualifiers-Kazakhstan,Kazakhstan,46.2,1,10.4,4,38.5,0,2.3,0,7.5,9.1,1.6,0,0,0,0,1
2022-UEFA WCQ-Kosovo,Kosovo,40.6,0.63,8.25,2.5,30.3,0.13,2.88,0.13,11,10.8,1.75,0,0,0,0,1
2021-UEFA Euro Qualifiers-Kosovo,Kosovo,50,1.44,10.2,3.67,35.9,0.11,2.11,0,10.9,8.67,2.44,0,0,0,0,1
2022-UEFA WCQ-Latvia,Latvia,36.6,1,8.5,2.7,31.8,0.1,2.3,0,10.9,13.2,1.9,0,0,0,0,1
2021-UEFA Euro Qualifiers-Latvia,Latvia,33.9,0.2,6.1,1.8,29.5,0,2.3,0,10,10,1.1,0,0,0,0,1
2022-UEFA WCQ-Liechtenstein,Liechtenstein,24.7,0.2,2.3,0.9,39.1,0,1.9,0.2,8.5,11.4,0.6,0,0,0,0,1
2021-UEFA Euro Qualifiers-Liechtenstein,Liechtenstein,27.4,0.2,4.1,1.5,36.6,0,0.9,0,8.9,11.8,0.9,0,0,0,0,1
2022-UEFA WCQ-Lithuania,Lithuania,35.9,0.5,7.5,2,26.7,0.13,2.13,0,8.63,11.3,1.13,0,0,0,0,1
2021-UEFA Euro Qualifiers-Lithuania,Lithuania,36.1,0.5,7.5,1.88,25,0.13,2.13,0.25,11.4,10.5,1.25,0,0,0,0,1
2022-UEFA WCQ-Luxembourg,Luxembourg,47.5,1,10.8,2.75,25.6,0.13,2.25,0.25,13.1,12.8,2.63,0,0,0,0,1
2021-UEFA Euro Qualifiers-Luxembourg,Luxembourg,42.8,0.5,8.88,2.75,31,0,1.88,0,8.38,8.25,2.38,0,0,0,0,1
2022-UEFA WCQ-Malta,Malta,44.1,0.8,5.4,2.1,38.9,0,2.3,0.2,8.3,10.4,1.3,0,0,0,0,1
