Key,Year,Competition,Squad,O. Gls,O. Sh,O. SoT,O. SoT%,O. G/Sh,O. G/SoT,O. PKatt
2019-it Serie A-Sampdoria,2019,it Serie A,Sampdoria,1.32,13.3,3.79,28.4,0.08,0.3,0.21
2019-it Serie A-Sassuolo,2019,it Serie A,Sassuolo,1.53,12.6,4.11,32.6,0.11,0.35,0.21
2019-de Bundesliga-Schalke 04,2019,de Bundesliga,Schalke 04,1.59,13.3,4.62,34.7,0.11,0.31,0.18
2019-es La Liga-Sevilla,2019,es La Liga,Sevilla,1.21,11.8,3.82,32.2,0.09,0.28,0.18
2019-eng Premier League-Southampton,2019,eng Premier League,Southampton,1.63,13.7,4.53,33.1,0.12,0.35,0.08
2019-it Serie A-SPAL,2019,it Serie A,SPAL,1.47,14.3,4.58,32,0.09,0.29,0.13
2019-fr Ligue 1-Strasbourg,2019,fr Ligue 1,Strasbourg,1.24,12.8,4,31.1,0.08,0.26,0.24
2019-de Bundesliga-Stuttgart,2019,de Bundesliga,Stuttgart,1.94,15,5.24,34.9,0.13,0.36,0.09
2019-it Serie A-Torino,2019,it Serie A,Torino,0.97,12.4,3.79,30.4,0.07,0.24,0.13
2019-eng Premier League-Tottenham,2019,eng Premier League,Tottenham,0.95,12.1,3.89,32.3,0.07,0.22,0.13
2019-fr Ligue 1-Toulouse,2019,fr Ligue 1,Toulouse,1.47,15.2,4.61,30.4,0.09,0.29,0.16
2019-it Serie A-Udinese,2019,it Serie A,Udinese,1.37,16,4.45,27.8,0.07,0.25,0.24
2019-es La Liga-Valencia,2019,es La Liga,Valencia,0.87,12.2,3.84,31.5,0.06,0.18,0.21
2019-es La Liga-Valladolid,2019,es La Liga,Valladolid,1.32,12.8,3.97,30.9,0.09,0.29,0.24
2019-es La Liga-Villarreal,2019,es La Liga,Villarreal,1.29,14.7,4.89,33.4,0.08,0.25,0.13
2019-eng Premier League-Watford,2019,eng Premier League,Watford,1.47,12.7,4.55,36,0.11,0.3,0.13
2019-de Bundesliga-Werder Bremen,2019,de Bundesliga,Werder Bremen,1.44,13.5,4.59,33.9,0.1,0.29,0.15
2019-eng Premier League-West Ham,2019,eng Premier League,West Ham,1.42,13.7,5.05,36.9,0.1,0.26,0.13
2019-de Bundesliga-Wolfsburg,2019,de Bundesliga,Wolfsburg,1.47,12.9,4.76,36.9,0.1,0.28,0.18
2019-eng Premier League-Wolves,2019,eng Premier League,Wolves,1.11,12.1,3.66,30.3,0.08,0.28,0.11
