Country,Player,Age,MP,Starts,Minutes,fullgmsplayed,Gls,Ast,G_PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G_A_90,G_PK_90,G_A_PK_90
Cameroon,Vincent Aboubakar,30,8,7,441,4.90,2,0,1,1,1,1,0,0.41,0.00,0.41,0.20,0.20
Cameroon,Moumi Ngamaleu,27,6,6,428,4.80,1,3,0,1,1,0,0,0.21,0.63,0.84,0.00,0.63
Cameroon,Collins Fai,29,6,5,506,5.60,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Andre-Frank Zambo Anguissa,26,6,5,430,4.80,1,0,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21
Cameroon,Nouhou Tolo,24,6,5,422,4.70,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Eric Maxim Choupo-Moting,32,6,5,350,3.90,3,0,3,0,0,0,0,0.77,0.00,0.77,0.77,0.77
Cameroon,André Onana,25,4,4,390,4.30,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Samuel Oum Gouet,24,4,4,371,4.10,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Devis Epassy,28,4,4,360,4.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Harold Moukoudi,24,4,4,360,4.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Olivier Mbaizo,24,4,3,330,3.70,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Jean-Charles Castelletto,27,2,2,210,2.30,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Pierre Kunde,26,5,2,184,2.00,0,1,0,0,0,0,0,0.00,0.49,0.49,0.00,0.49
Cameroon,Léandre Tawamba,32,4,1,191,2.10,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Christian Bassogog,26,5,1,187,2.10,2,0,2,0,0,1,0,0.96,0.00,0.96,0.96,0.96
Cameroon,Jean Onana,22,3,1,132,1.50,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Gaël Ondoua,26,2,1,116,1.30,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Jean-Claude Billong,28,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Joyskim Dawa,25,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Jérôme Onguéné,24,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Duplexe Tchamba,23,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Ambroise Oyongo,30,1,1,86,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Stéphane Bahoken,29,5,0,145,1.60,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,James Lea Siliki,25,5,0,125,1.40,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Yvan Neyou,25,2,0,71,0.80,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Ignatius Ganago,22,3,0,60,0.70,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Kévin Soni,23,1,0,45,0.50,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Cameroon,John Mary,28,1,0,30,0.30,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Cameroon,Squad Total,27,8,88,750,8.30,14,7,12,2,2,11,0,1.68,0.84,2.52,1.44,2.28
Cameroon,Opponent Total,28,8,88,750,8.30,5,3,4,1,1,19,2,0.60,0.36,0.96,0.48,0.84
Canada,Alistair Johnston,23,19,15,1375,15.30,1,1,1,0,0,0,0,0.07,0.07,0.13,0.07,0.13
Canada,Jonathan David,22,18,15,1332,14.80,9,3,8,1,1,0,0,0.61,0.20,0.81,0.54,0.74
Canada,Stephen Eustáquio,25,17,15,1327,14.70,0,2,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14
Canada,Milan Borjan,34,14,14,1260,14.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Canada,Richie Laryea,27,16,14,1200,13.30,1,2,1,0,0,4,0,0.07,0.15,0.23,0.07,0.23
